image,label,rt0,rt1,rt2,rt3,rt4,rt5,rt6,rt7,rt8,rt9,rt10,rt11,rt12,rt13,rt14,rt15,rt16,rt17,rt18,rt19,rt20,rt21,rt22,rt23,rt24,rt25,rt26,rt27,rt28,rt29
palo_10.png,2,2,4,3,2,0,3,4,1,0,0,3,2,2,1,2,1,3,2,4,3,3,0,0,1,4,2,2,2,0,0
phuc_77.png,1,4,0,1,1,2,3,0,2,1,1,2,4,1,0,3,3,0,1,1,3,3,4,0,1,1,1,4,0,0,4
phuc_33.png,1,3,0,4,3,2,1,1,4,1,1,3,0,2,1,4,0,2,3,4,0,1,3,3,2,3,1,2,1,3,3
palo_11.png,2,3,2,2,2,0,1,2,3,2,4,3,4,0,2,4,2,4,2,3,0,3,4,0,4,4,0,3,2,0,4
phuc_40.png,1,2,3,2,2,0,2,1,0,4,4,3,3,2,4,4,3,3,2,4,2,2,4,0,3,3,2,0,2,0,4
phuc_31.png,1,1,0,1,3,3,2,4,0,1,0,2,2,3,3,1,2,0,0,1,4,0,4,2,0,2,3,1,0,2,4
palo_26.png,2,1,3,4,1,4,4,1,3,3,3,3,3,4,3,2,1,1,0,0,3,0,3,2,4,1,0,2,4,2,3
phuc_69.png,1,1,0,2,2,2,2,3,3,0,3,3,1,0,3,3,4,0,0,1,1,2,4,3,4,4,4,4,3,3,4
palo_69.png,2,0,4,1,0,4,0,2,0,4,3,1,0,1,1,1,3,1,0,2,1,4,4,1,3,2,4,4,1,1,4
palo_72.png,2,2,4,4,2,3,2,2,2,0,1,1,3,4,1,0,1,2,3,4,1,1,1,4,2,3,1,3,2,4,1
phuc_9.png,1,4,0,1,4,0,0,0,0,2,3,2,1,2,1,2,0,2,3,1,0,3,3,1,4,2,1,3,1,1,3
phuc_3.png,1,4,2,0,0,4,3,1,1,1,0,1,4,0,3,1,1,0,0,2,3,3,1,2,1,1,1,0,3,2,1
hank_1.png,0,2,2,3,0,4,4,0,0,3,4,1,2,1,2,0,2,1,1,4,1,4,4,1,1,0,0,1,4,1,4
palo_15.png,2,0,4,2,2,0,4,3,2,1,2,2,4,0,3,2,0,4,0,0,3,4,1,4,0,3,0,1,1,4,1
phuc_84.png,1,1,2,0,3,4,0,4,3,4,0,3,3,1,4,3,2,0,0,4,0,1,1,4,2,2,4,0,1,4,1
phuc_85.png,1,0,4,1,1,4,4,4,2,4,2,0,4,3,2,4,0,1,3,0,2,2,0,3,4,4,2,3,2,3,0
phuc_11.png,1,0,4,2,3,1,2,3,4,3,1,1,3,1,0,3,1,1,4,0,2,3,2,3,4,4,2,0,4,3,2
hank_21.png,0,0,2,3,2,4,1,4,0,2,1,2,2,2,3,3,0,1,0,3,3,0,3,1,3,0,3,1,1,1,3
palo_38.png,2,3,3,1,0,3,0,2,1,3,4,3,2,0,1,1,4,3,0,2,4,1,1,4,4,1,2,1,1,4,1
phuc_39.png,1,4,0,4,2,2,0,4,1,3,1,1,2,4,0,4,4,1,4,3,4,0,2,3,3,3,4,0,2,3,2
phuc_83.png,1,0,0,2,1,3,1,2,2,1,2,3,3,4,0,1,2,3,2,2,4,1,3,3,1,3,0,4,0,3,3
phuc_25.png,1,3,1,2,1,2,4,2,2,3,2,3,2,1,3,1,3,0,2,0,4,0,0,3,1,1,2,2,0,3,0
palo_30.png,2,0,2,0,3,3,3,3,4,3,2,0,3,0,1,2,4,4,4,1,2,0,4,1,4,1,1,4,3,1,4
hank_17.png,0,3,2,4,1,2,3,2,4,3,3,2,4,3,0,3,4,0,2,0,3,1,3,0,2,4,4,3,3,0,3
palo_68.png,2,3,1,3,2,4,1,1,0,3,3,3,4,0,2,4,1,1,2,1,0,1,0,2,3,4,1,3,3,2,0
palo_23.png,2,4,2,4,0,0,4,3,0,2,0,2,0,1,2,4,0,4,0,1,1,3,3,0,4,3,1,4,0,0,3
phuc_72.png,1,0,1,3,1,0,3,4,0,1,0,0,4,0,2,3,4,2,4,4,0,1,4,0,4,1,2,3,0,0,4
phuc_19.png,1,3,3,3,2,3,3,1,0,3,4,0,0,1,1,0,0,4,1,3,2,2,1,0,3,0,4,3,2,0,1
phuc_18.png,1,4,3,0,0,1,0,0,3,4,4,1,1,0,1,3,1,2,0,0,2,1,4,3,0,3,1,0,3,3,4
palo_20.png,2,1,2,1,0,1,2,3,2,0,0,4,3,0,3,3,3,0,4,0,4,1,3,1,1,3,4,0,1,1,3
